8	S100A9	pp	S100A8
8	EPHA3	pp	EFNA1
8	IRF9	pp	STAT1
8	BIRC3	pp	UBC
8	BIRC3	pp	XAF1
8	GTF3C2	pp	GTF3C4
8	SMARCD1	pp	SMARCE1
8	SMARCD1	pp	KRT15
8	CRCT1	pp	PTN
8	NEDD9	pp	UBC
8	PTN	pp	PTPRZ1
8	PTN	pp	MAD2L1BP
8	PTN	pp	GNB2L1
8	PTN	pp	RIT1
8	PTN	pp	P4HB
8	ADRB2	pp	UBC
8	PHYHIP	pp	S100A13
8	AURKB	pp	TACC1
8	RELB	pp	UBC
8	RELB	pp	SMARCE1
8	RELB	pp	NFKB2
8	RELB	pp	NFKBIA
8	RELB	pp	BCL3
8	UBC	pp	PPARGC1A
8	UBC	pp	SPTBN1
8	UBC	pp	NFKB2
8	UBC	pp	NFKBIA
8	UBC	pp	FOSL1
8	UBC	pp	BCL3
8	UBC	pp	Poli
8	SPTBN1	pp	STAT1
8	PRPH	pp	KRT15
8	STAT1	pp	GNB2L1
8	STAT1	pp	LZTR1
8	MAD2L1BP	pp	KRT15
8	NFKB2	pp	BCL3
9	RB1	pp	SUV39H1
9	RB1	pp	TGM2
9	RB1	pp	SERPINB2
